"Date";"Value"
"10/01/1998";60,407
"11/01/1998";60,407
"12/01/1998";60,40696
"01/01/1999";60,049
"02/01/1999";60,049
"03/01/1999";60,04894
"04/01/1999";59,192
"05/01/1999";59,192
"06/01/1999";59,19227
"07/01/1999";58,393
"08/01/1999";58,393
"09/01/1999";58,39258
"10/01/1999";58,343
"11/01/1999";58,343
"12/01/1999";58,34336
"01/01/2000";57,721
"02/01/2000";57,721
"03/01/2000";57,72134
"04/01/2000";55,485
"05/01/2000";55,485
"06/01/2000";55,48491
"07/01/2000";54,992
"08/01/2000";54,992
"09/01/2000";54,99213
"10/01/2000";54,258
"11/01/2000";54,258
"12/01/2000";54,2579
"01/01/2001";55,144
"02/01/2001";55,144
"03/01/2001";55,14434
"04/01/2001";54,032
"05/01/2001";54,032
"06/01/2001";54,03165
"07/01/2001";54,798
"08/01/2001";54,798
"09/01/2001";54,79763
"10/01/2001";55,752
"11/01/2001";55,752
"12/01/2001";55,75216
"01/01/2002";55,697
"02/01/2002";55,697
"03/01/2002";55,6965
"04/01/2002";56,271
"05/01/2002";56,271
"06/01/2002";56,27087
"07/01/2002";56,703
"08/01/2002";56,703
"09/01/2002";56,7026
"10/01/2002";57,91
"11/01/2002";57,91
"12/01/2002";57,91028
"01/01/2003";57,819
"02/01/2003";57,819
"03/01/2003";57,81906
"04/01/2003";58,961
"05/01/2003";58,961
"06/01/2003";58,96101
"07/01/2003";58,645
"08/01/2003";58,645
"09/01/2003";58,64541
"10/01/2003";59,445
"11/01/2003";59,445
"12/01/2003";59,44466
"01/01/2004";59,807
"02/01/2004";59,807
"03/01/2004";59,8071
"04/01/2004";60,055
"05/01/2004";60,055
"06/01/2004";60,05487
"07/01/2004";59,966
"08/01/2004";59,966
"09/01/2004";59,96643
"10/01/2004";60,637
"11/01/2004";60,637
"12/01/2004";60,63713
"01/01/2005";60,913
"02/01/2005";60,913
"03/01/2005";60,91302
"04/01/2005";60,642
"05/01/2005";60,642
"06/01/2005";60,64153
"07/01/2005";60,359
"08/01/2005";60,359
"09/01/2005";60,35856
"10/01/2005";61,32
"11/01/2005";61,32
"12/01/2005";61,32008
"01/01/2006";61,556
"02/01/2006";61,556
"03/01/2006";61,55642
"04/01/2006";61,221
"05/01/2006";61,221
"06/01/2006";61,22142
"07/01/2006";61,333
"08/01/2006";61,333
"09/01/2006";61,3328
"10/01/2006";61,827
"11/01/2006";61,827
"12/01/2006";61,82689
"01/01/2007";62,253
"02/01/2007";62,253
"03/01/2007";62,25297
"04/01/2007";61,572
"05/01/2007";61,572
"06/01/2007";61,57219
"07/01/2007";61,848
"08/01/2007";61,848
"09/01/2007";61,84826
"10/01/2007";62,719
"11/01/2007";62,719
"12/01/2007";62,71924
"01/01/2008";64,173
"02/01/2008";64,173
"03/01/2008";64,17278
"04/01/2008";63,852
"05/01/2008";63,852
"06/01/2008";63,85172
"07/01/2008";67,285
"08/01/2008";67,285
"09/01/2008";67,28455
"10/01/2008";73,245
"11/01/2008";73,245
"12/01/2008";73,24515
"01/01/2009";77,105
"02/01/2009";77,105
"03/01/2009";77,10496
"04/01/2009";80,28
"05/01/2009";80,28
"06/01/2009";80,28013
"07/01/2009";82,427
"08/01/2009";82,427
"09/01/2009";82,42733
"10/01/2009";84,029
"11/01/2009";84,029
"12/01/2009";84,02935
"01/01/2010";86,512
"02/01/2010";86,512
"03/01/2010";86,51175
"04/01/2010";88,128
"05/01/2010";88,128
"06/01/2010";88,12832
"07/01/2010";89,565
"08/01/2010";89,565
"09/01/2010";89,56528
"10/01/2010";91,611
"11/01/2010";91,611
"12/01/2010";91,61134
"01/01/2011";92,956
"02/01/2011";92,956
"03/01/2011";92,95614
"04/01/2011";92,194
"05/01/2011";92,194
"06/01/2011";92,1938
"07/01/2011";94,521
"08/01/2011";94,521
"09/01/2011";94,52098
"10/01/2011";96,091
"11/01/2011";96,091
"12/01/2011";96,09072
"01/01/2012";97,123
"02/01/2012";97,123
"03/01/2012";97,12308
"04/01/2012";97,828
"05/01/2012";97,828
"06/01/2012";97,82763
"07/01/2012";98,448
"08/01/2012";98,448
"09/01/2012";98,44787
"10/01/2012";100,075
"11/01/2012";100,075
"12/01/2012";100,07497
"01/01/2013";100,856
"02/01/2013";100,856
"03/01/2013";100,73997
"04/01/2013";100,232
"05/01/2013";100,232
"06/01/2013";100,05758
"07/01/2013";98,978
"08/01/2013";98,978
